;;Issue;Datatype;Type;Group;Path;Name/Label;Description;Data Range;Unit
;;;float;Sensor;Cargo;Trailer.HRU.Compartment3.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment4.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment5.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment6.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment7.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment8.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment9.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment10.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment11.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment12.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment13.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment14.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment15.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.HRU.ReturnAir.Temperature;HRU return air temperature;This parameter provides the return air temperature measured at evaporator input.;-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.HRU.Supply.Temperature;HRU supply air temperature;This parameter provides the supply air temperature measured at evaporator output;-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.HRU.Evaporator.Temperature;HRU evaporator temperature;This parameter provides the temperature of the evaporator.;-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.Cargo.HRU.Ambient.Temperature;HRU ambient temperature;This parameter provides the ambient temperature measured by the HRU.;-273 to 1734.96875 °C;Celsius
;;;enum;Sensor;Cargo;Trailer.Cargo.HRU.Status;HRU status;This parameter provides the status of the HRU. It includes the operating status.;"OFF
COOLING
HEATING
DEFROSTING
WAITING
ERROR
NOT_AVAILABLE"; 
;;;float;Sensor;Cargo;Trailer.Cargo.HRU.Voltage;HRU battery voltage;This parameter provides the voltage of the HRU battery;0.1 -  6553.5;Volt
;;;uint32;Sensor;Cargo;Trailer.Cargo.HRU.OperatingHours.Engine;HRU diesel operating hours;This parameter provides the HRU operating hours powered by the diesel engine.;0 to 4294967295;Hour
;;;uint32;Sensor;Cargo;Trailer.Cargo.HRU.OperatingHours.Electricity;HRU electrical operating hours;This parameter provides the HRU operating hours powered electrically;0 to 4294967295;Hour
;;;uint32;Sensor;Cargo;Trailer.Cargo.HRU.OperatingHours.Total;HRU total operating hours;This parameter provides the HRU total operating hours;0 to 4294967295;Hour
;;;uint8;Sensor;Cargo;Trailer.Cargo.HRU.Compartments;HRU Number of available compartments;This parameter provides the functionality and the operating mode status of the HRU.;0 to 8; 
